Correction	ErrorFrequency	Errors
geehrter	1	[geeherter]
zeit	4	[seit, zait, siet, saiet]
viel	6	[fiel, fiel, vile, fil, fill, will]
ermutigen	1	[ermütigen]
erzählst	1	[erzahlst]
lecker	1	[läcker]
meine	6	[meie, miene, meihne, miene, meeine, maine]
kommst	1	[komst]
flexibel	4	[flexibl, flexible, flexibil, flexibil]
bedanke	1	[biedake]
vermitteln	1	[vermitten]
gezeigt	1	[gezeicht]
schreiben	1	[sreiben]
geehrten	1	[geherte]
schicken	5	[schiken, schiken, schinken, schinken, sicken]
aber	3	[abere, abe, abar]
dafür	2	[däfur, dafur]
schrecklich	1	[schreklich]
empfohlen	1	[empfolen]
auswählen	1	[auswälen]
küsst	1	[kusst]
insbesondere	2	[insbesonderes, inbesondere]
besser	1	[beser]
toll	1	[tool]
telefonieren	1	[telefonniert]
steht	1	[shteht]
bis	4	[biss, bie, bist, bist]
andere	1	[andree]
einerseits	1	[einerseite]
deshalb	4	[deshalf, deschalb, desalbe, dashalb]
außerhalb	2	[ausserhalb, ausserhalb]
mitnehmen	2	[mitnehemen, mit]
selbst	1	[sebst]
sieben	1	[seiben]
voraus	5	[vorauf, voraur, vorauss, varaus, varaus]
setzen	1	[fotsetzen]
vier	1	[fer]
seelische	1	[seeliche]
sich	1	[ich]
überlegt	1	[uberliegt]
umfangreiche	1	[unfangreiche]
du	3	[do, tu, do]
geht	12	[geit, get, get, get, get, gehst, geth, getes, giest, get, gehet, get]
sogar	1	[soger]
paar	5	[paap, parr, par, parr, parr]
achten	1	[achter]
riesig	2	[rießig, rießig]
immer	1	[immen]
welcher	1	[welsche]
welches	1	[welhe]
später	1	[schpeter]
welchen	1	[welschen]
jungen	1	[jünge]
lebt	1	[libt]
wunderschön	1	[wunderschon]
sondern	6	[sondan, sonder, sonder, sonder, sonder, sonder]
glaube	1	[glabe]
ungefähr	3	[ungefahr, ungefähe, ungäfehr]
angenehm	1	[angenem]
mal	1	[mall]
anderseits	1	[anderseites]
man	13	[mann, mann, mann, mann, mann, mann, mann, mann, mann, mann, mann, mann, mann]
herzliche	6	[herlizche, hertzliche, herlich, herzlische, herzlische, hertz]
offensichtlich	1	[öffensichtlich]
sie	3	[sei, sei, si]
schwimmen	3	[swimmen, swimmen, schwimen]
ausschlaggebend	1	[ausschlaggeben]
füttern	3	[futtern, flüttern, futtern]
süß	1	[suße]
verheiratet	2	[vereihatet, verheirated]
erst	1	[erste]
beginne	2	[begine, begine]
antreten	1	[antretten]
gesprochene	1	[gesprochende]
erinnerst	1	[erinnst]
interessiere	12	[interesire, interesiere, interressiere, innteressiere, interesire, interessire, interesiere, interessire, interesire, interesiere, interessere, interesiere]
nichts	1	[nichst]
sammeln	1	[zammel]
genügend	2	[genugend, genugend]
mühelos	1	[müheloss]
draußen	2	[trausen, rauss]
mich	1	[mirch]
beschäftigt	4	[beschäftigd, bescheftig, beschäftig, beschäftig]
bügeln	1	[bugeln]
warte	1	[worte]
geplant	1	[geplannt]
intelligente	1	[inteligente]
preise	1	[pries]
reise	1	[raise]
selbstständig	1	[selbststandig]
multinationalen	1	[multinationallefirma]
freundlichst	1	[freutlich]
hat	3	[hatt, hatt, hatt]
hätte	1	[häte]
niemals	1	[nie]
größter	1	[grösster]
empfehlenswert	2	[empehlenswert, empfelenswert]
erstattet	1	[erstatet]
sollte	2	[solter, solte]
geweckt	1	[gewecht]
circa	1	[cirka]
hab	1	[ab]
eine	2	[arbeit, anie]
verbessern	4	[verbesern, verbesern, verbesseren, verbessen]
gelesen	7	[gelessen, gelessen, geleseh, gelessen, geleasen, gelessen, gelessen]
morgen	1	[morger]
wichtig	2	[witchtig, wichtich]
betrifft	1	[betrift]
einem	2	[dos, ainem]
einen	1	[ain]
